Unnamed: 0,authors,title,journal,pmid,year,accession,Organisms,RecordYears,Hosts,Countries,IsolateYears,CDS,SeqLens,AlignLens,PcntIDs
222,"Bai Y., Deng F., Jin J., Moming A., Shen S., Su Z., Tang S., Wu Q., Zhang Y., Zhu Q.","China, Direct Submission, Whole-genome sequencing of Crimean-Congo hemorrhagic fever virus strains circulating in Xinjiang","Chinese Academy of Sciences, China, Hubei 430071, No. 44, Unpublished, Wuchang District, Wuhan, Wuhan Institute of Virology, Xiaohongshan Middle District",,2023,"OR047127.1, OR047128.1, OR047129.1, OR047130.1, OR047131.1, OR047132.1, OR047133.1, OR047134.1, OR047135.1, OR047136.1, OR047137.1, OR047138.1, OR047139.1, OR047140.1, OR047141.1, OR047142.1, OR047143.1, OR047144.1, OR047145.1, OR047146.1, OR047147.1, OR047148.1, OR047149.1, OR047150.1, OR047151.1, OR047152.1, OR047153.1, OR047154.1, OR047155.1, OR047156.1, OR047157.1, OR047158.1, OR047159.1, OR047160.1, OR047161.1, OR047162.1, OR047163.1, OR047164.1, OR047165.1, OR047166.1, OR047167.1, OR047168.1, OR047169.1, OR047170.1, OR047171.1, OR047172.1, OR047173.1, OR047174.1, OR047175.1, OR047176.1, OR047177.1, OR047178.1, OR047179.1, OR047180.1, OR047181.1, OR047182.1, OR047183.1, OR047184.1, OR047185.1, OR047186.1",Orthonairovirus haemorrhagiae (60),21-A (60),"Homo sapiens (30), nan (18), Tick (9), tick (3)",China (60),"1979 (6), 1975 (6), 1988 (6), 2004 (6), 1968 (6), 1984 (6), 1966 (3), 1970 (3), 1973 (3), 1976 (3), 1977 (3), 1980 (3), 1969 (3), 1978 (3)","RNA-dependent RNA polymerase (20), glycoprotein precursor (20), nucleoprotein (20)","1000-3000 (20), 5000-10000 (20), >10000 (20)","100-500 (20), 1000-3000 (20), 3000-5000 (20)","75%-90% (20), 90%-95% (1), 95%-100% (39)"
223,"Calero-bernal R., De la fuente J., Fernandez de mera I., Gortazar C., Habela M., Moraga fernandez A., Royo-hernandez L., Ruiz fons F.","Detection of New Crimean-Congo Hemorrhagic Fever Virus Genotypes in Ticks Feeding on Deer and Wild Boar, Direct Submission, Spain","Sanidad Animal, Ciudad Real 13071, Instituto de Investigacion en Recursos Cinegeticos, Lancet (2019) In press, Ronda de Toledo s/n, Spain",,"2018, 2019","MK297919.1, MK297920.1, MK297921.1, MK297922.1, MK297923.1, MK297924.1, MK297925.1, MK297926.1, MK297927.1, MK297928.1, MK297929.1, MK297930.1, MK297931.1, MK297932.1, MK297933.1, MK297934.1, MK297935.1, MK297936.1",Orthonairovirus haemorrhagiae (18),15-S (18),"Hyalomma lusitanicum (16), Dermacentor marginatus (2)",Spain (18),2017 (18),nucleocapsid protein (18),212 (18),"70 (15), 69 (3)","90%-95% (3), 95%-100% (15)"
224,"De la fuente J., Fernandez de mera I., Margalida A., Martinez J., Moraga-fernandez A., Munoz-hernandez C., Oliva-vidal P., Sanchez-sanchez M.","Direct Submission, Health risks associated with argasid ticks, transmitted pathogens and blood parasites in European Griffon vulture (Gyps fulvus) nestlings in Spain","Department of Science and Agroforestal Technology and Genetics, Ciudad Real, Ciudad Real 13005, Institute for Game and Wildlife Research, Ronda Toledo 12, Spain, Unpublished",,2022,"OP951067.1, OP951068.1, OP951069.1",Orthonairovirus haemorrhagiae (3),08-J (3),Argas persicus (3),Spain (3),nan (3),nucleoprotein (3),200 (3),66 (3),95%-100% (3)
225,"Kurane I., Morikawa S., Qing T., Saijo M., Tang Q., Xinqin Z.","Direct Submission, Genetic diversity of the M RNA segment among Crimean-Congo hemorrhagic fever virus isolates in China","Contact:Shigeru Morikawa National Institute of Infectious Diseases, 159-164 (2002), Japan URL :http://www.nih.go.jp, Musashimurayama, Special Pathogens Laboratory; 4-7-1 Gakuen, Tokyo 208-0011, Virology 296 (1)",12036327.0,"2001, 2002","AB069669.1, AB069670.1, AB069671.1, AB069672.1, AB069673.1, AB069674.1, AB069675.1",Orthonairovirus haemorrhagiae (7),17-J (7),nan (7),China:Xinjiang province (7),nan (7),envelope glycoprotein precursor (7),"5367 (2), 5377 (2), 5356 (2), 5368 (1)","1689 (3), 1681 (2), 1690 (2)",75%-90% (7)
226,"Bharti A., Broadhvest J., Brubaker C., Cameron C., Lindquist I., May G., Mudge J., Ramaraj T., Sundararajan A., Wilkins T., Woodward J.","Direct Submission, G. arboreum L. cv. AKA8401 A2 genome assembly version 1.0","Bioinformatics, 2935 Rodeo Park Drive East, NCGR, NM 87505, Santa Fe, USA, Unpublished",,2014,KN421077.1,Gossypium arboreum (1),04-D (1),nan (1),nan (1),nan (1),RNA-directed RNA polymerase L (1),49411 (1),42 (1),25%-50% (1)
227,"Arribas J., Astray-mochales J., Bermejo lopez E., Cornejo V., De la calle-prieto F., Delgado-jimenez P., Diaz-diaz D., Emmerich P., Fernandez-cruz A., Fernandez-diaz M., Figueira J., Fraile J., Garcia-arenzana N., Garcia-comas L., Keough-delgado E., Lasala F., Lopez perez L., Lopez-garcia M., Manzanares J., Martin-quiros A., Martinez de la gandara A., Menarguez J., Milla J., Mora-rillo M., Negredo A., Ordobas gavin M., Palencia-herrejon E., Ramirez de arellano E., Rodriguez-baena E., Rodriguez-fraga O., Sanchez-artola B., Sanchez-seco M., Schmidt-chanasit J., Trigo E.","Autochthonous Crimean-Congo Hemorrhagic Fever in Spain, Direct Submission","Virology, 154-161 (2017), Ctra pozuelo-Majadahonda Km 2, Institute of Health 'Carlos III', Madrid 28220, Majadahonda, N. Engl. J. Med. 377 (2), Spain",28700843.0,2017,"KY492289.1, KY492290.1",Orthonairovirus haemorrhagiae (2),27-J (2),Homo sapiens (2),Spain (2),Aug- (2),nucleoprotein (2),592 (2),197 (2),95%-100% (2)
228,"Calero-bernal R., Estrada-pena A., Habela M., Labiod N., Lasala F., Lopez P., Negredo A., Ramirez de arellano E., Sanchez-seco P., Sarria A., Tenorio A.","2011-2015, Direct Submission, Spain, Survey of Crimean-Congo Hemorrhagic Fever Enzootic Focus","Arbovirus and Imported Viral Diseases, Ctra. Majadahonda-Pozuelo, Emerging Infect. Dis. 25 (6) (2019) In press, Institute of Health Carlos III, Madrid 28220, Majadahonda, National Center of Microbiology, Spain, km2",,"2018, 2019","MH337845.1, MH337846.1, MH337847.1",Orthonairovirus haemorrhagiae (3),11-M (3),Hyalomma lusitanicum (3),Spain (3),"20-O (2), 20-N (1)",nucleoprotein (3),495 (3),165 (3),95%-100% (3)
229,"De arellano E., Estrada-pe A., Jimenez M., Molina R., Negredo A., Olmeda A., Romero L., San miguel L., Sanchez-seco M., Sierra M., Valcarcel F.","Direct Submission, Spain, Widespread Detection of Multiple Strains of Crimean-Congo Hemorrhagic Fever Virus in Ticks","Arbovirus and Imported Viral diseases, 394-402 (2021), Ctra. Majadahonda-Pozuelo, Emerg Infect Dis 28 (2), Institute of Health Carlos III, Madrid 28220, Majadahonda, National Center of Microbiology, Spain, km2",35076008.0,2021,"OK082060.1, OK082061.1, OK082062.1, OK082063.1, OK082064.1, OK082065.1, OK082066.1, OK082067.1",Orthonairovirus haemorrhagiae (8),13-F (8),Hyalomma lusitanicum (8),Spain (8),"11-N (2), 21-J (1), 14-S (1), 07-F (1), 26-J (1), 27-O (1), 17-O (1)",nucleoprotein (8),591 (8),197 (8),95%-100% (8)
230,"Budino M., De la hoz C., De ory F., Diez F., Garcinuno M., Gutierrez A., Hernandez L., Negredo A., Sanchez-arroyo R., Sanchez-seco M., Vazquez A.","Direct Submission, Second autochthonous case of CCHF infection by tick bite in Spain (2018). Identification of a new virus circulating in West Europe","Arbovirus and Imported Viral diseases, Ctra. Majadahonda-Pozuelo, Institute of Health Carlos III, Madrid 28220, Majadahonda, National Center of Microbiology, Spain, Unpublished, km2",,2019,"MN689739.1, MN689740.1, MN689741.1",Orthonairovirus haemorrhagiae (3),13-J (3),Hyalomma lusitanicum (3),Spain (3),nan (3),"RNA-dependent RNA polymerase (1), glycoprotein precursor (1), nucleoprotein (1)","12080 (1), 5324 (1), 1638 (1)","3945 (1), 1685 (1), 482 (1)","75%-90% (1), 95%-100% (2)"
231,"Akishkin V., Arjba T., Azarian A., Babaeva M., Bashkina O., Butenko A., Gintsburg A., Gushchin V., Kozlova A., Kuznetsova N., Larichev V., Nikeshina N., Nikiforova M., Rubalsky O., Shchetinin A., Tkachuk A., Vakalova E.","Direct Submission, Occurrence of the neglected arboviruses in the Astrakhan region of Russia for 2018 season: the development of multiplex PCR assays and analysis of mosquitoes, and human blood sera, ticks","Pathogenic Microorganisms Variability Lab, 16, Gamaleya str., Moscow 123098, N.F. Gamaleya Research Center of Epidemiology and Microbiology, Russia, Unpublished",,2020,"MN987247.1, MN987248.1, MN987249.1",Orthonairovirus haemorrhagiae (3),14-N (3),Homo sapiens (3),"Russia: Astrakhan region, Narimanovsky district (3)",07-M (3),"nucleocapsid protein (1), glycoprotein precursor (1), RNA-dependent RNA polymerase (1)","1606 (1), 5338 (1), 12129 (1)","482 (1), 1688 (1), 3945 (1)",95%-100% (3)
232,"Behbahani M., Mohabatkar H., Nosrati M.","Direct Submission, Towards the first multi-epitope recombinant vaccine against Crimean-Congo hemorrhagic fever virus: A computer-aided vaccine design approach","Biotechnology, 103160 (2019) In press, Hezar Jerib, Iran, Isfahan 0098, J Biomed Inform, University of Isfahan",30928513.0,2019,MK527510.1,synthetic construct (1),10-A (1),nan (1),nan (1),nan (1),multi-epitope vaccine protein (1),1146 (1),20 (1),90%-95% (1)
233,"Atkinson B., Atshabar B., Deryabin P., Hewson R., Nurmakhanov T., Sansyzbaev Y., Shevtsov A., Vilkova A., Yeskhojayev O.","Deposition of the nucleotide sequence of S, Direct Submission, M, and L segments of CCHF virus isolates derived from human blood serum of the patient in the South Kazakhstan region","Research, Manor Farm Road, Public Health England, Salisbury, UK, Unpublished, Wiltshire SP4 0JG",,2016,"KX129738.1, KX129739.1, KX458183.1",Orthonairovirus haemorrhagiae (3),"03-J (2), 29-A (1)",Homo sapiens (3),Kazakhstan: South Kazakhstan oblast (3),2015 (3),"envelope glycoprotein precursor (1), RNA-dependent RNA polymerase (1), nucleoprotein (1)","5171 (1), 562 (1), 1648 (1)","1665 (1), 187 (1), 482 (1)","75%-90% (1), 95%-100% (2)"
234,"Akurut G., Balinandi S., Baluku J., Cossaboom C., Kamugisha K., Klena J., Kyondo J., Lutwama J., Mulei S., Namanya D., Nyakarahuka L., Shoemaker T., Telford C., Tumusiime A., Whitmer S.","April 2021, Crimean-Congo Hemorrhagic Fever Outbreak in Refugee Settlement during COVID-19 Pandemic, Direct Submission, Uganda","Viral Special Pathogens Branch, 1600 Clifton Rd., Atlanta, Emerg Infect Dis 28 (11) (2022) In press, GA 30333, The Centers for Disease Control and Prevention, USA",36198315.0,"2021, 2022","OL690430.1, OL690431.1",Orthonairovirus haemorrhagiae (2),19-O (2),Homo sapiens (2),Uganda: Kikuube district (2),27-A (2),"nucleocapsid protein (1), envelope glycoprotein precursor (1)","1568 (1), 5348 (1)","482 (1), 1176 (1)","50%-75% (1), 90%-95% (1)"
235,"Allan P., Conger N., Gabriel M., Gunther S., Meyer M., Olschlager S., Osborn E., Schmidt-chanasit J.","Complete sequence and phylogenetic characterisation of Crimean-Congo hemorrhagic fever virus from Afghanistan, Direct Submission","Virology, 90-92 (2011), Bernhard-Nocht-Institut for Tropical Medicine, Bernhard-Nocht-Strasse 74, Germany, Hamburg 20359, J. Clin. Virol. 50 (1)",21035389.0,"2010, 2011","HM452305.1, HM452306.1, HM452307.1",Orthonairovirus haemorrhagiae (3),17-M (3),Homo sapiens (3),Afghanistan (3),2009 (3),"L protein (1), glycoprotein precursor (1), nucleoprotein (1)","12167 (1), 5366 (1), 1674 (1)","3945 (1), 1685 (1), 482 (1)","75%-90% (1), 95%-100% (2)"
236,"Junglen S., Kopp A., Ogola E., Omoga D., Osalla J., Sang R., Slothouwer I., Tchouassi D., Torto B., Venter M.","Direct Submission, Livestock, Transmission dynamics of Crimean Congo Haemorrhagic Fever Virus (CCHFV); Evidence of circulation in Humans, and Rodents in diverse ecologies in Kenya","Human Health, ICIPE, ICIPE Road, Kenya, Nairobi 00100, Unpublished, off Kasarani Road",,2023,"OQ357265.1, OQ357266.1, OQ357267.1, OQ357268.1, OQ357269.1, OQ357270.1, OQ357271.1, OQ357272.1",Orthonairovirus haemorrhagiae (8),31-J (8),"sheep (4), Mus musculus (3), Rattus rattus (1)","Kenya: Baringo County (7), Kenya: Kajiado County (1)",Sep- (8),nucleoprotein (8),"499 (5), 402 (1), 481 (1), 515 (1)","166 (5), 133 (1), 160 (1), 171 (1)","90%-95% (1), 95%-100% (7)"
237,"Emir H., Karaer Z., Orkun O.","Direct Submission, Ticks threatening lineage of Anatolian wild sheep (Ovis gmelinii anatolica) and determination of their tick-borne pathogens","Parasitology, 77-84 (2016), Ankara 06110, Ankara University, Turkey, Vet. Parasitol. 228",27692336.0,"2015, 2016",KT851448.1,Orthonairovirus haemorrhagiae (1),06-J (1),Rhipicephalus bursa on Ovis orientalis anatolica (1),Turkey (1),nan (1),S protein (1),218 (1),72 (1),95%-100% (1)
238,"Cakmak A., Karaer Z., Nalbantoglu S., Orkun O.","Crimean-Congo hemorrhagic fever virus in ticks in Turkey, Direct Submission","Department of Parasitology, Ankara, Ankara University Veterinary Faculty, Turkey, Unpublished",,2016,"KX425593.1, KX425594.1, KX425595.1, KX425596.1, KX425597.1, KX425598.1, KX425599.1, KX425600.1, KX425601.1, KX425602.1, KX425603.1, KX425604.1, KX425605.1, KX425606.1, KX425607.1, KX425608.1, KX425609.1, KX425610.1, KX425611.1, KX425612.1, KX425613.1, KX425614.1, KX425615.1, KX425616.1, KX425617.1, KX425618.1, KX425619.1",Orthonairovirus haemorrhagiae (27),12-A (27),"Hyalomma marginatum (17), Dermacentor marginatus (4), Rhipicephalus turanicus (2), Rhipicephalus bursa (2), Hyalomma excavatum (1), Haemaphysalis parva (1)",Turkey (27),nan (27),S protein (27),100-500 (27),"30-100 (23), 100-500 (4)",95%-100% (27)
239,"Alata A., Aradaib I., Bilal N., Elbashir M., Eltom K., Osman H.","Direct Submission, Emergence of Crimean-Congo hemorrhagic fever virus in North Kordufan, Sudan","Department of Clinical Medicine, Alkarib Street, Faculty of Vet. Med., Khartoum 13314, Khartoum North, Sudan, University of Khartoum, Unpublished",,2012,"JQ686212.1, JQ692582.1",Orthonairovirus haemorrhagiae (2),24-M (2),Homo sapiens (2),Sudan (2),Oct- (2),nucleoprotein (2),207 (2),68 (2),95%-100% (2)
240,"Aydin K., Koksal I., Ozdarendeli A., Tonbak S.","Direct Submission, Genetic analysis of S gene of CCHFV in humans in Turkey","Virology, Elazig 23119, Firat, Firat University, Turkey, Unpublished",,2007,"EF432639.1, EF432640.1, EF432641.1, EF432642.1, EF432643.1, EF432644.1, EF432645.1, EF432646.1, EF432647.1, EF432648.1, EF432649.1, EF432650.1, EF432651.1, EF432652.1, EF432653.1",Orthonairovirus haemorrhagiae (15),14-J (15),Homo sapiens (15),Turkey (15),"2004 (8), 2005 (7)",nucleoprotein (15),493 (15),164 (15),95%-100% (15)
241,"Aktas M., Aydin K., Berber E., Bolat Y., Buzgan T., Canakoglu N., Ertek M., Kalkan A., Ozdarendeli A., Tonbak S.","Direct Submission, The complete genome analysis of Crimean-Congo hemorrhagic fever virus isolated in Turkey","Virology, 288-293 (2010), Elazig 23119, Firat University, Turkey, Veterinary Medicine, Virus Res. 147 (2)",19941917.0,"2009, 2010","GQ337053.1, GQ337054.1, GQ337055.1",Orthonairovirus haemorrhagiae (3),29-J (3),nan (3),Turkey (3),2006 (3),"L protein (1), envelope glycoprotein precursor (1), nucleocapsid protein (1)","12149 (1), 5364 (1), 1673 (1)","3945 (1), 1688 (1), 482 (1)","90%-95% (1), 95%-100% (2)"
242,"Caglayik D., Kuscu F., Ozkul A.","Direct Submission, Is Crimean-Congo Hemorrhagic Fever Virus Topotype Important in the Possibility of Nosocomial Transmission?","Department of Virology, Ankara 06110, Ankara University, Diskapi, Faculty of Veterinary Medicine, Irfan Bastug Cad, Turkey, Unpublished",,2016,KU695267.1,Orthonairovirus haemorrhagiae (1),06-M (1),Homo sapiens (1),Turkey (1),2015 (1),nucleoprotein (1),475 (1),158 (1),95%-100% (1)
243,"Ozan E., Ozkul A.","Direct Submission, Investigation of Crimean-Congo Hemorrhagic Fever Virus in Ruminant Species Slaughtered in Some Endemic Provinces in Turkey","Department of Virology, Ankara, Ankara University, Faculty of Veterinary Medicine, None 06110, Omer Halis Demir Blv. Diskapi, Turkey, Unpublished",,2018,MH346169.1,Orthonairovirus haemorrhagiae (1),11-F (1),Bos taurus; female (1),Turkey (1),01-M (1),nucleoprotein (1),262 (1),87 (1),95%-100% (1)
244,"Ayranci sucakli I., Dincer E., Korukluoglu G., Ozkul A., Sucakli I., Tavil B., Tezer H., Tunc B., Uyar Y.","Concurrent Crimean-Congo hemorrhagic fever and visceral leishmaniasis in a Turkish girl, Direct Submission","Department of Virology, 743-745 (2011), Ankara 06110, Ankara University, Faculty of Veterinary Medicine, Irfan Bastug Cad. Diskapi, Turkey, Vector Borne Zoonotic Dis. 11 (6)",21083375.0,"2009, 2011","GU084161.1, GU084162.1",Orthonairovirus haemorrhagiae (2),03-A (2),Homo sapiens (2),Turkey: Kastomonu (2),2009 (2),nucleocapsid protein (2),"366 (1), 374 (1)","121 (1), 124 (1)",95%-100% (2)
245,"Christova I., Panayotova E., Papa A., Trifonova I.","Crimean-Congo hemorrhagic fever virus lineages Europe 1 and Europe 2 in Bulgarian ticks, Direct Submission","Dept. of Microbiology, Aristotle University of Thessaloniki, Greece, Medical School, Thessaloniki 54124, Ticks Tick Borne Dis (2016) In press",27378409.0,2016,"KX227372.1, KX227373.1, KX227374.1, KX227375.1, KX227376.1, KX227377.1",Orthonairovirus haemorrhagiae (6),18-J (6),"Rhipicephalus sanguineus sensu lato (3), Hyalomma marginatum (3)",Bulgaria (6),2014 (6),nucleocapsid protein (6),"404 (2), 220 (2), 474 (1), 362 (1)","135 (2), 73 (2), 157 (1), 120 (1)","75%-90% (3), 95%-100% (3)"
246,"Bino S., Kadiaj P., Kontana A., Kota M., Papa A., Tsioka K., Velo E.","Crimean-Congo hemorrhagic fever virus in ticks collected from livestock in Albania, Direct Submission","A' Dept. of Microbiology, Aristotle University of Thessaloniki, Greece, Infect. Genet. Evol. (2017) In press, Medical School, Thessaloniki 54124",28827176.0,2017,"MF612174.1, MF612175.1, MF612176.1, MF612177.1, MF612178.1, MF612179.1, MF612180.1, MF612181.1",Orthonairovirus haemorrhagiae (8),02-S (8),"Rhipicephalus bursa (6), Hyalomma marginatum (2)",Albania (8),"07-J (2), 2005 (1), 21-M (1), 23-A (1), 20-A (1), 04-J (1), 08-J (1)",nucleoprotein (8),"220 (5), 499 (3)","73 (5), 166 (3)","75%-90% (6), 95%-100% (2)"
247,"Antoniadis A., Bino S., Brahimaj B., Cahani G., Harxhi A., Llagami A., Papa A., Papadimitriou E., Pavlidou V., Pilaca A., Velo E.","Crimean-Congo hemorrhagic fever in Albania-2001, Direct Submission","Department of Microbiology, Aristotelian University of Thessaloniki, Greece, School of Medicine, Thessaloniki 54006, Unpublished",,2001,AF449482.1,Orthonairovirus haemorrhagiae (1),26-J (1),nan (1),Albania (1),nan (1),nucleoprotein (1),256 (1),85 (1),95%-100% (1)
248,"Antoniadis A., Bozovi B., Bozovic B., Papa A., Papadimitriou E., Pavlidou V., Pelemis M.","Direct Submission, Genetic detection and isolation of crimean-congo hemorrhagic fever virus, Kosovo, Yugoslavia","Microbiology, 852-854 (2002), Aristotelian University of Thesssaloniki, Emerging Infect. Dis. 8 (8), Greece, School of Medicine, Thessaloniki 54006",12141973.0,"2001, 2002, 2008","AF428144.3, AF428145.2",Orthonairovirus haemorrhagiae (2),"26-J (1), 19-O (1)",nan (2),nan (2),nan (2),nucleoprotein (2),"256 (1), 1673 (1)","85 (1), 482 (1)",95%-100% (2)
249,"Chaligiannis I., Kontana N., Papa A., Sotiraki S., Sourba T., Tsatsaris A., Tsioka K.","A novel AP92-like Crimean-Congo hemorrhagic fever virus strain, Direct Submission, Greece","A' Dept. of Microbiology, 590-593 (2014), Aristotle University of Thessaloniki, Greece, Medical School, Thessaloniki 54124, Ticks Tick Borne Dis 5 (5)",24953797.0,"2013, 2014",KF146306.1,Orthonairovirus haemorrhagiae (1),23-J (1),Rhipicephalus bursa voucher GR-57 (1),Greece (1),02-J (1),nucleocapsid protein (1),529 (1),175 (1),75%-90% (1)
